case,T_s,x_value,x_units,total_rate,Dgt0_rate,Deq0_rate
PSA0p2,0.2,0.01,g,0.00896855110706,0.000915946183009,0.00805260492405
PSA0p2,0.2,0.0101393945768,g,0.0089684132508,0.000915946182976,0.00805246706783
PSA0p2,0.2,0.0102807322383,g,0.00896826826235,0.000915946182938,0.00805232207942
PSA0p2,0.2,0.0104240400702,g,0.00896811581028,0.000915946182897,0.00805216962738
PSA0p2,0.2,0.0105693455356,g,0.00896795554991,0.00091594618285,0.00805200936706
PSA0p2,0.2,0.0107166764803,g,0.00896778712292,0.000915946182799,0.00805184094012
PSA0p2,0.2,0.0108660611385,g,0.00896761015692,0.000915946182741,0.00805166397418
PSA0p2,0.2,0.0110175281379,g,0.00896742426503,0.000915946182678,0.00805147808235
PSA0p2,0.2,0.011171106505,g,0.00896722904544,0.000915946182607,0.00805128286284
PSA0p2,0.2,0.0113268256714,g,0.00896702408099,0.000915946182528,0.00805107789846
PSA0p2,0.2,0.0114847154784,g,0.00896680893871,0.000915946182441,0.00805086275627
PSA0p2,0.2,0.0116448061837,g,0.00896658316937,0.000915946182343,0.00805063698703
PSA0p2,0.2,0.0118071284667,g,0.00896634630705,0.000915946182235,0.00805040012481
PSA0p2,0.2,0.0119717134342,g,0.00896609786864,0.000915946182115,0.00805015168653
PSA0p2,0.2,0.0121385926269,g,0.00896583735344,0.000915946181982,0.00804989117146
PSA0p2,0.2,0.0123077980251,g,0.00896556424261,0.000915946181835,0.00804961806078
PSA0p2,0.2,0.0124793620547,g,0.00896527799878,0.000915946181671,0.0080493318171
PSA0p2,0.2,0.0126533175939,g,0.00896497806549,0.00091594618149,0.008049031884
PSA0p2,0.2,0.0128296979789,g,0.00896466386682,0.00091594618129,0.00804871768553
PSA0p2,0.2,0.0130085370109,g,0.00896433480679,0.000915946181069,0.00804838862572
PSA0p2,0.2,0.013189868962,g,0.00896399026897,0.000915946180823,0.00804804408815
PSA0p2,0.2,0.0133737285821,g,0.00896362961596,0.000915946180552,0.00804768343541
PSA0p2,0.2,0.0135601511057,g,0.00896325218889,0.000915946180253,0.00804730600864
PSA0p2,0.2,0.0137491722581,g,0.00896285730696,0.000915946179922,0.00804691112704
PSA0p2,0.2,0.0139408282628,g,0.00896244426694,0.000915946179556,0.00804649808739
PSA0p2,0.2,0.0141351558484,g,0.00896201234271,0.000915946179152,0.00804606616356
PSA0p2,0.2,0.014332192255,g,0.00896156078474,0.000915946178706,0.00804561460603
PSA0p2,0.2,0.0145319752424,g,0.00896108881963,0.000915946178215,0.00804514264141
PSA0p2,0.2,0.0147345430962,g,0.00896059564962,0.000915946177672,0.00804464947195
PSA0p2,0.2,0.0149399346361,g,0.00896008045214,0.000915946177074,0.00804413427507
PSA0p2,0.2,0.0151481892226,g,0.00895954237932,0.000915946176416,0.0080435962029
PSA0p2,0.2,0.0153593467651,g,0.0089589805575,0.00091594617569,0.00804303438181
PSA0p2,0.2,0.0155734477293,g,0.00895839408681,0.00091594617489,0.00804244791192
PSA0p2,0.2,0.0157905331447,g,0.00895778204072,0.00091594617401,0.00804183586671
PSA0p2,0.2,0.0160106446132,g,0.00895714346554,0.000915946173041,0.0080411972925
PSA0p2,0.2,0.0162338243161,g,0.00895647738004,0.000915946171976,0.00804053120806
PSA0p2,0.2,0.0164601150231,g,0.00895578277496,0.000915946170805,0.00803983660415
PSA0p2,0.2,0.0166895600998,g,0.00895505861265,0.000915946169517,0.00803911244313
PSA0p2,0.2,0.0169222035164,g,0.00895430382662,0.000915946168103,0.00803835765852
PSA0p2,0.2,0.0171580898561,g,0.00895351732115,0.00091594616655,0.0080375711546
PSA0p2,0.2,0.0173972643234,g,0.00895269797091,0.000915946164845,0.00803675180606
PSA0p2,0.2,0.0176397727531,g,0.00895184462057,0.000915946162973,0.0080358984576
PSA0p2,0.2,0.0178856616188,g,0.00895095608446,0.000915946160919,0.00803500992354
PSA0p2,0.2,0.018134978042,g,0.00895003114621,0.000915946158667,0.00803408498755
PSA0p2,0.2,0.0183877698008,g,0.00894906855844,0.000915946156199,0.00803312240224
PSA0p2,0.2,0.0186440853397,g,0.0089480670424,0.000915946153494,0.00803212088891
PSA0p2,0.2,0.0189039737782,g,0.00894702528775,0.000915946150531,0.00803107913722
PSA0p2,0.2,0.0191674849206,g,0.00894594195221,0.000915946147287,0.00802999580492
PSA0p2,0.2,0.0194346692654,g,0.00894481566135,0.000915946143737,0.00802886951762
PSA0p2,0.2,0.019705578015,g,0.00894364500835,0.000915946139851,0.0080276988685
PSA0p2,0.2,0.0199802630857,g,0.00894242855374,0.000915946135602,0.00802648241814
PSA0p2,0.2,0.0202587771174,g,0.00894116482529,0.000915946130955,0.00802521869433
PSA0p2,0.2,0.0205411734835,g,0.00893985231775,0.000915946125877,0.00802390619188
PSA0p2,0.2,0.0208275063019,g,0.00893848949279,0.000915946120329,0.00802254337246
PSA0p2,0.2,0.0211178304445,g,0.00893707477879,0.000915946114271,0.00802112866452
PSA0p2,0.2,0.0214122015482,g,0.00893560657083,0.000915946107657,0.00801966046317
PSA0p2,0.2,0.0217106760254,g,0.00893408323057,0.000915946100439,0.00801813713013
