case,x_type,M_center,x_center,epsilon_center,contribution_fraction,contribution_percent
PSA0p2_total,Rrup_km,6.15,2.05,3,0.000135559587,0.013555959
PSA0p2_total,Rrup_km,6.15,2.05,5,2.46954969e-07,2.4695497e-05
PSA0p2_total,Rrup_km,6.15,2.25,1,8.592777211e-05,0.0085927772
PSA0p2_total,Rrup_km,6.15,2.25,3,0.0002717046115,0.027170461
PSA0p2_total,Rrup_km,6.15,2.25,5,4.940125606e-07,4.9401256e-05
PSA0p2_total,Rrup_km,6.15,2.35,1,0.0003336749877,0.033367499
PSA0p2_total,Rrup_km,6.15,2.35,3,0.001101815031,0.1101815
PSA0p2_total,Rrup_km,6.15,2.35,5,1.976462688e-06,0.00019764627
PSA0p2_total,Rrup_km,6.15,2.55,1,3.383066884e-05,0.0033830669
PSA0p2_total,Rrup_km,6.15,2.55,3,0.0001352663795,0.013526638
PSA0p2_total,Rrup_km,6.15,2.55,5,2.470575916e-07,2.4705759e-05
PSA0p2_total,Rrup_km,6.15,2.85,1,1.759958292e-05,0.0017599583
PSA0p2_total,Rrup_km,6.15,2.85,3,0.0001261837894,0.012618379
PSA0p2_total,Rrup_km,6.15,2.85,5,2.470575916e-07,2.4705759e-05
PSA0p2_total,Rrup_km,6.15,3.05,1,1.470797085e-05,0.0014707971
PSA0p2_total,Rrup_km,6.15,3.05,3,0.0001220388132,0.012203881
PSA0p2_total,Rrup_km,6.15,3.05,5,2.46954969e-07,2.4695497e-05
PSA0p2_total,Rrup_km,6.15,3.15,1,3.022753997e-05,0.003022754
PSA0p2_total,Rrup_km,6.15,3.15,3,0.0002551989857,0.025519899
PSA0p2_total,Rrup_km,6.15,3.15,5,4.940125606e-07,4.9401256e-05
PSA0p2_total,Rrup_km,6.15,3.65,1,5.488922028e-06,0.0005488922
PSA0p2_total,Rrup_km,6.15,3.65,3,0.0001070793681,0.010707937
PSA0p2_total,Rrup_km,6.15,3.65,5,2.470575916e-07,2.4705759e-05
PSA0p2_total,Rrup_km,6.15,3.85,1,4.046663803e-06,0.00040466638
PSA0p2_total,Rrup_km,6.15,3.85,3,0.0001100866993,0.01100867
PSA0p2_total,Rrup_km,6.15,3.85,5,2.470575916e-07,2.4705759e-05
PSA0p2_total,Rrup_km,6.15,4.05,3,9.90542796e-05,0.009905428
PSA0p2_total,Rrup_km,6.15,4.05,5,2.46954969e-07,2.4695497e-05
PSA0p2_total,Rrup_km,6.15,4.15,3,0.0001034377313,0.010343773
PSA0p2_total,Rrup_km,6.15,4.15,5,2.46954969e-07,2.4695497e-05
PSA0p2_total,Rrup_km,6.15,4.45,3,8.435354121e-05,0.0084353541
PSA0p2_total,Rrup_km,6.15,4.45,5,2.470575916e-07,2.4705759e-05
PSA0p2_total,Rrup_km,6.15,4.65,3,8.644196028e-05,0.008644196
PSA0p2_total,Rrup_km,6.15,4.65,5,2.470575916e-07,2.4705759e-05
PSA0p2_total,Rrup_km,6.25,0.05,1,0.002111787709,0.21117877
PSA0p2_total,Rrup_km,6.25,0.05,3,0.001848370118,0.18483701
PSA0p2_total,Rrup_km,6.25,0.05,5,3.246881787e-06,0.00032468818
PSA0p2_total,Rrup_km,6.25,1.05,1,0.0001730197734,0.017301977
PSA0p2_total,Rrup_km,6.25,1.05,3,0.0002298218792,0.022982188
PSA0p2_total,Rrup_km,6.25,1.05,5,4.058597347e-07,4.0585973e-05
PSA0p2_total,Rrup_km,6.25,1.95,1,0.0006873349965,0.0687335
PSA0p2_total,Rrup_km,6.25,1.95,3,0.00183421797,0.1834218
PSA0p2_total,Rrup_km,6.25,1.95,5,3.248162127e-06,0.00032481621
PSA0p2_total,Rrup_km,6.25,2.05,1,8.683827904e-05,0.0086838279
PSA0p2_total,Rrup_km,6.25,2.05,3,0.0002291768227,0.022917682
PSA0p2_total,Rrup_km,6.25,2.05,5,4.058597347e-07,4.0585973e-05
PSA0p2_total,Rrup_km,6.25,2.25,1,6.756448147e-05,0.0067564481
PSA0p2_total,Rrup_km,6.25,2.25,3,0.0002280802268,0.022808023
PSA0p2_total,Rrup_km,6.25,2.25,5,4.060209989e-07,4.06021e-05
PSA0p2_total,Rrup_km,6.25,2.85,1,3.285116041e-05,0.003285116
PSA0p2_total,Rrup_km,6.25,2.85,3,0.0002168415845,0.021684158
PSA0p2_total,Rrup_km,6.25,2.85,5,4.060209989e-07,4.06021e-05
PSA0p2_total,Rrup_km,6.25,3.05,1,2.658306886e-05,0.0026583069
PSA0p2_total,Rrup_km,6.25,3.05,3,0.0002112422991,0.02112423
PSA0p2_total,Rrup_km,6.25,3.05,5,4.058597347e-07,4.0585973e-05
PSA0p2_total,Rrup_km,6.25,3.65,1,1.13526023e-05,0.0011352602
PSA0p2_total,Rrup_km,6.25,3.65,3,0.0001854253814,0.018542538
